generation,total_return,accuracy,winrate,avg_return,n_signals,bot
0,2.3598867749734156,0.43389830508474575,0.43389830508474575,0.00047056565802062127,5015,SmaCrossBot
0,2.3598867749734156,0.43389830508474575,0.43389830508474575,0.00047056565802062127,5015,SmaCrossBot
1,1.22216775590116,0.41990933131847374,0.41990933131847374,0.00023085903964887796,5294,SmaCrossBot
2,1.5673950625740443,0.4934831460674157,0.4934831460674157,0.0007044472191344019,2225,RSIBotStochastic
3,1.2710501006241468,0.5019731649565904,0.5019731649565904,0.0010031966066488926,1267,RSIBotStochastic
4,1.22216775590116,0.41990933131847374,0.41990933131847374,0.00023085903964887796,5294,SmaCrossBot
